"Id.Proceso.CNA","Institución","Estado de acreditación","Años de acreditación","Duración del programa (trimestres)","¿Tiene inclusión o diversidad en el perfil de egreso?","¿Tiene ramos de inclusión?","Cantidad de ramos de inclusión","Carrera"
"PREG-02046-01-00","UNIVERSIDAD DE ANTOFAGASTA","No acreditada",,,,,,"PLAN ESPECIAL EN DOCENCIA DE PEDAGOGÍA PARA PROFESIONALES"
"PREG-02047-01-00","UNIVERSIDAD DE SANTIAGO DE CHILE","No acreditada",,,,,,"PROGRAMA DE PROSECUCIÓN DE ESTUDIOS PARA PROFESORES DE QUÍMICA Y BIOLOGÍA / LICENCIATURA EN EDUCACIÓN EN QUÍMICA Y BIOLOGÍA"
"PREG-02048-01-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","No acreditada",,,,,,"PEDAGOGÍA DE RELIGIÓN Y MORAL"
"PREG-02040-01-00","UNIVERSIDAD CATÓLICA DEL NORTE","No acreditada",,8,"Si","Si",2,"PROGRAMA DE PROSECUCIÓN DE ESTUDIOS EN FORMACIÓN PEDAGÓGICA: CONDUCENTE AL TÍTULO DE PROFESOR DE FILOSOFÍA Y RELIGIÓN EN ENSEÑANZA BÁSICA Y MEDIA CON GRADO DE LICENCIADO EN EDUCACIÓN"
"PREG-02045-01-00","UNIVERSIDAD SANTO TOMÁS","No acreditada",,8,"Si","Si",1,"PROGRAMA DE FORMACIÓN PEDAGÓGICA PARA LICENCIADOS O PROFESIONALES"
"PREG-02060-01-00","UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO","No acreditada",,8,"Si","Si",2,"PROGRAMA SEGUNDA TITULACIÓN DE PEDAGOGÍA EN EDUCACIÓN BÁSICA, CON ENFOQUE EN PRÁCTICAS INCLUSIVAS PARA EL APRENDIZAJE"
"PREG-02062-01-00","UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO","No acreditada",,8,"Si","Si",2,"PROGRAMA SEGUNDA TITULACIÓN DE FORMACIÓN PEDAGÓGICA EN ENSEÑANZA MEDIA PARA LICENCIADOS Y PROFESIONALES"
"PREG-02066-01-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","No acreditada",,8,"No","Si",1,"PROSECUCIÓN DE ESTUDIOS EN LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN ARTES ESCÉNICAS CON MENCIÓN EN DANZA O TEATRO"
"PREG-02069-01-00","UNIVERSIDAD VIÑA DEL MAR","No acreditada",,5,"Si","Si",1,"PROSECUCIÓN DE ESTUDIOS EN FORMACIÓN PEDAGÓGICA EN EDUCACIÓN MEDIA PARA LICENCIADOS Y PROFESIONALES"
"PREG-02070-01-00","UNIVERSIDAD VIÑA DEL MAR","No acreditada",,9,"Si","Si",3,"PROSECUCIÓN DE ESTUDIOS EN PEDAGOGÍA EN EDUCACIÓN FÍSICA"
"PREG-02071-01-00","UNIVERSIDAD VIÑA DEL MAR","No acreditada",,6,"Si","Si",5,"PROSECUCIÓN DE ESTUDIOS EN PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL MENCIÓN DISCAPACIDAD INTELECTUAL"
"PREG-02073-01-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","No acreditada",,12,"No","No",0,"PROSECUCIÓN DE ESTUDIOS EN LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN EDUCACIÓN BÁSICA"
"PREG-02075-02-00","UNIVERSIDAD CATÓLICA DE TEMUCO","No acreditada",,20,"No","Si",2,"PEDAGOGÍA EN LENGUA Y CULTURA MAPUCHE"
